Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Hofstra,CAA,"110.3
67","112.7
312","51.7
112","53.1
289","15.2
13","15.4
331","31.1
104","29.6
195","37.7
109","29.3
46","68.1
255","72.6
290","49.6
163","52.0
268","36.4
104","36.9
280"
New Mexico St. 14,WAC,"110.3
68","103.3
147","52.7
73","47.9
61","19.5
247","19.1
139","35.6
21","28.5
142","43.3
12","35.2
180","70.9
152","68.4
66","54.2
25","49.1
160","33.5
237","30.3
9"
Iona 14,MAAC,"110.2
69","106.7
215","53.4
56","50.0
147","16.5
48","18.0
202","27.0
255","32.1
290","31.0
282","33.4
132","76.8
18","69.5
114","49.3
175","47.7
112","39.7
14","36.1
233"
Minnesota 5,B10,"110.1
70","93.9
19","48.7
242","45.1
10","16.1
31","17.6
223","29.7
155","30.2
224","39.6
68","29.2
43","71.1
141","68.2
55","47.5
252","44.5
22","34.3
202","30.9
13"
Boise St.,MWC,"110.0
71","102.3
120","51.8
110","48.3
79","17.9
118","16.6
289","27.7
227","26.5
60","40.5
48","41.9
307","71.5
131","72.9
302","51.5
84","47.1
83","34.8
176","34.2
122"
UT Arlington,SB,"109.9
72","101.2
99","52.5
81","48.9
97","18.7
197","20.1
74","32.6
66","29.8
205","34.6
193","36.6
204","69.4
212","65.7
5","54.7
18","49.4
168","33.0
262","32.2
44"
La Salle,A10,"109.9
73","108.0
239","53.3
58","54.3
319","18.6
183","17.7
221","25.7
283","27.6
103","38.3
88","33.1
121","76.6
19","72.4
276","52.4
53","51.3
245","36.4
102","39.4
336"
Tennessee,SEC,"109.8
74","97.4
50","46.8
311","48.6
87","17.4
91","19.3
128","31.8
82","30.1
217","42.9
13","43.3
321","72.7
98","69.7
132","46.0
296","46.2
57","32.4
288","35.5
197"
Seton Hall 9,BE,"109.7
75","96.6
44","49.9
200","49.0
106","19.5
243","17.5
241","35.7
19","25.4
30","37.6
110","36.1
198","64.3
336","71.9
260","49.6
160","48.0
119","33.8
227","34.1
118"
Wofford,SC,"109.7
76","108.3
251","52.7
70","53.4
306","17.5
95","18.0
204","28.1
214","28.2
130","31.9
273","38.3
235","78.9
4","73.2
311","49.4
168","54.6
334","38.4
36","34.2
119"
