Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Lipscomb,ASun,"108.8
72","110.9
317","52.8
37","53.4
331","20.6
183","19.2
242","35.3
80","31.6
119","38.1
154","30.7
42","70.2
130","63.7
9","52.2
27","51.8
316","36.0
86","37.5
308"
IUPUI,Sum,"108.8
73","102.0
159","54.9
12","49.6
195","21.1
213","21.1
121","32.7
170","32.7
177","42.8
66","30.1
35","71.9
77","68.6
154","54.1
9","48.0
184","38.0
34","35.1
219"
Texas Tech,B12,"108.8
74","97.4
74","48.5
179","47.8
119","18.5
83","19.8
206","32.1
195","35.0
275","42.8
65","41.0
237","71.5
91","70.1
237","46.1
229","47.4
155","37.1
55","32.4
79"
Siena 13,MAAC,"108.7
75","96.6
64","49.3
146","48.0
132","17.4
33","21.6
82","35.5
69","29.5
51","38.7
129","21.4
1","67.3
225","63.8
11","49.7
95","47.4
153","32.1
252","32.8
100"
Alabama,SEC,"108.7
76","95.5
51","49.0
158","47.7
115","19.5
127","21.2
110","35.0
89","34.2
243","34.3
262","36.5
150","70.7
112","66.4
56","47.6
179","47.7
172","35.0
127","31.8
62"
Appalachian St.,SC,"108.7
77","105.0
226","54.1
17","48.9
161","21.7
247","15.6
343","35.2
83","27.3
12","40.3
105","32.7
72","74.5
21","65.0
23","50.9
60","46.5
120","40.0
8","35.1
218"
William & Mary,CAA,"108.6
78","103.8
194","50.5
93","47.6
111","17.7
44","16.8
333","30.1
259","33.5
215","36.7
195","31.4
51","69.6
150","68.1
129","48.7
135","46.5
121","35.0
130","33.0
109"
Wright St.,Horz,"108.5
79","97.1
69","51.4
62","49.4
186","18.5
79","24.8
8","31.6
205","30.1
67","34.1
265","44.2
286","73.3
34","73.1
331","49.2
113","47.5
161","36.6
66","35.5
248"
Drake,MVC,"108.5
80","105.7
236","51.9
50","52.9
322","15.9
7","19.5
220","21.2
346","32.0
143","34.1
266","31.7
60","75.7
11","69.0
176","47.9
164","51.8
318","38.1
31","36.5
280"
Creighton,MVC,"108.5
81","101.8
154","50.1
105","47.8
118","18.3
63","17.6
309","30.6
241","30.6
83","37.1
182","37.0
168","72.0
72","72.1
319","49.9
87","46.3
114","33.6
197","33.7
148"
UTEP 12,CUSA,"108.4
82","90.9
10","52.8
35","44.6
21","18.7
89","22.3
57","28.9
294","30.2
72","39.6
115","43.2
275","67.3
224","66.8
69","53.4
13","43.4
22","34.3
158","31.3
47"
Virginia Tech,ACC,"108.4
83","93.0
26","46.6
266","44.6
23","17.7
45","22.1
64","35.6
67","34.0
234","42.9
62","35.1
123","71.7
85","69.6
209","46.8
206","44.4
42","30.7
299","30.0
16"
Penn St.,B10,"108.3
84","100.7
133","49.9
120","50.5
243","18.5
76","16.1
339","30.1
257","25.5
1","33.2
286","29.1
20","70.7
113","69.1
180","49.0
123","48.1
188","34.3
166","36.3
274"
Temple 5,A10,"108.2
85","89.0
4","49.1
153","43.0
2","16.8
18","18.1
286","32.4
185","27.9
21","27.4
339","26.9
10","68.9
173","69.9
224","48.4
144","43.1
17","33.7
193","28.5
3"
Arizona,P10,"108.1
86","99.7
110","50.1
103","48.7
157","20.1
158","18.4
275","29.6
276","31.5
118","44.3
43","38.3
191","73.3
36","69.5
200","48.4
146","49.5
244","35.8
96","31.4
51"
Loyola Marymount,WCC,"108.1
87","107.5
265","50.4
95","49.6
197","18.3
67","18.8
256","34.0
129","35.3
284","39.8
114","41.0
238","69.5
153","73.1
333","48.1
157","46.2
109","37.8
37","38.4
325"
Old Dominion 11,CAA,"108.1
88","91.3
13","48.8
171","45.5
41","20.1
157","22.4
54","42.4
1","30.2
69","30.3
318","29.7
26","64.8
294","66.5
62","49.2
109","45.8
89","31.7
267","30.0
15"
Charlotte,A10,"108.1
89","101.2
145","47.4
232","47.1
91","19.1
107","17.7
306","35.5
70","32.9
187","42.5
68","32.0
64","73.3
35","69.8
217","47.8
167","47.7
171","31.1
292","30.7
32"
Washington St.,P10,"108.0
90","101.7
153","49.9
121","51.2
271","20.7
187","20.3
179","35.5
71","32.8
181","45.5
28","34.3
101","70.5
121","70.6
256","49.0
122","50.2
272","34.7
141","35.3
233"
St. John's,BE,"107.9
91","94.4
37","47.3
240","48.1
137","18.7
90","20.4
166","35.5
72","30.8
91","31.6
307","34.9
120","65.2
287","70.5
255","46.1
230","45.7
86","33.5
204","35.9
262"
Weber St.,BSky,"107.6
92","103.6
193","51.3
71","49.7
202","18.1
59","19.7
212","33.4
153","29.3
45","40.9
91","41.8
259","72.9
48","73.4
336","49.8
94","47.5
160","35.7
101","36.4
278"
Connecticut,BE,"107.6
93","93.8
32","48.2
195","44.2
15","21.8
259","18.1
289","38.7
18","35.2
281","44.2
45","26.6
9","68.9
172","70.3
247","48.6
137","42.8
15","31.0
295","31.6
55"
Murray St. 13,OVC,"107.6
94","95.6
52","55.2
8","44.0
10","21.5
239","23.8
16","39.2
13","32.8
179","42.0
73","34.7
113","69.4
155","69.1
182","54.3
8","41.0
3","38.1
30","34.0
163"
Wake Forest 9,ACC,"107.6
95","93.6
28","47.0
253","43.8
8","21.1
214","19.1
245","38.8
17","33.7
222","40.8
94","38.5
195","65.7
273","68.7
164","47.2
197","43.8
30","30.8
298","29.2
7"
UCLA,P10,"107.5
96","100.9
137","52.6
40","50.9
263","21.8
252","20.0
195","30.4
248","32.4
163","36.6
201","32.7
75","63.2
328","69.7
216","54.7
5","49.1
228","32.5
238","36.3
276"
Ohio 14,MAC,"107.5
97","100.1
118","49.4
139","46.8
78","18.1
61","21.6
83","31.2
219","34.2
247","41.1
86","35.7
134","72.8
50","69.9
223","46.4
221","47.1
138","36.5
70","30.7
29"
Oakland 14,Sum,"107.4
98","104.5
212","49.0
159","50.3
236","19.7
134","18.4
274","36.9
40","31.1
102","41.1
87","32.4
69","71.6
90","67.7
104","49.8
91","50.0
259","31.6
273","33.9
161"
Iowa St.,B12,"107.4
99","96.1
57","49.9
123","47.3
96","19.7
135","17.9
294","33.0
163","31.6
120","36.9
189","27.1
11","65.7
275","71.5
303","47.3
196","45.9
95","37.3
51","33.4
129"
Tulsa,CUSA,"107.2
100","98.0
81","50.1
110","44.1
13","19.7
132","15.1
344","33.8
137","27.9
20","46.8
17","36.4
145","71.2
100","72.2
321","49.1
114","43.3
19","35.4
117","31.0
41"
,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Mercer,ASun,"107.2
101","111.0
320","51.6
60","50.2
230","21.4
233","17.3
321","34.2
119","33.9
230","44.9
35","36.9
164","70.3
129","69.4
196","51.3
47","50.3
277","34.7
143","33.2
116"
South Florida,BE,"107.2
102","96.2
61","47.9
210","47.4
104","19.2
111","18.1
288","34.3
113","34.1
238","45.3
32","32.9
77","68.2
202","64.2
15","49.9
86","47.2
143","28.3
339","31.9
65"
Dayton,A10,"107.2
103","90.3
8","50.6
90","44.7
24","21.3
226","20.7
147","34.3
114","27.4
13","38.5
136","40.8
234","66.5
253","65.7
36","50.0
81","44.0
34","34.5
149","30.7
30"
Bradley,MVC,"107.2
104","100.7
132","49.6
135","47.4
101","18.4
73","18.6
266","28.4
299","33.2
202","37.8
160","30.5
39","74.4
22","77.3
347","47.8
168","48.3
196","35.6
108","30.8
35"
