Year,Round,SeedDiff,OffEff,DefEff,OffFgp,DefFgp,OffTop,DefTop,OffRp,DefRp,OffFtr,DefFtr,OffFtp,DefFtp,Off2pp,Def2pp,Off3pp,Def3pp,ScoreDiff
2019,4,2,-8.5,-4.6,-5.5,-1.2,2.8,3.8,-4.1,1.9,-2.4,10.7,-2.9,-0.3,-8.6,-1.5,0.2,-0.7,6
2019,4,-2,0.3,-4.5,1.6,-4.3,-1.1,-1.1,-4.1,-1.6,-0.8,-5.4,2.5,-6.6,1,-1.5,2.1,-5.3,5
2019,4,1,1,1.9,1.6,-1.1,1,-4.5,-1.7,-3.1,0.4,3.5,6.7,-1.7,-3.7,-3.1,7,1.7,1
2019,4,3,3.7,5.4,1.4,5.1,-1.8,6.7,-5.2,7.3,-11,9.6,-2.6,0.5,-1.2,7.8,2.7,0.5,6
2019,3,1,0,-0.9,-1.7,0.9,0,0.6,2.9,-3.2,-3.4,-3.2,-3.9,7.7,-3.9,2.5,0.7,-1.2,5
2019,3,-3,11.9,-1,8.5,-3,-4,-1.3,-1.3,-0.2,-0.5,-9.8,1.7,-2.5,10.5,-1.9,3.1,-3.1,14
2019,3,1,0.6,-0.4,1.9,-1.1,3.8,4.8,2.7,3.9,5.4,12.5,3.1,3.1,1,-2.4,2.3,0.6,19
2019,3,-1,1.9,-5.6,4,-6,0.6,-5.2,-2.8,-4.4,-3.5,-5.6,0.1,-1.1,1.4,-7.5,5.9,-2.1,17
2019,3,4,1.2,3.8,1.5,2.8,-0.4,6.3,-3.7,10,0.7,8,-3,3.1,-0.4,3.5,1.9,1.3,17
2019,3,-3,1,-4.1,-2,-4,0.2,-2.2,6,2.3,1.3,-2.3,-7.5,-2.6,5.1,-4,-8.6,-2.8,2
2019,3,-11,14.8,-1.7,3.2,-1.7,-3.1,-3.4,0.8,-3.4,-0.3,-7.6,2.3,-3.6,0.9,-3.1,4.4,-0.1,4
2019,3,-1,1.7,-0.6,0.9,4.1,2.1,-0.3,2.4,-0.5,10.3,-10.5,3.6,1.1,1.6,0.6,-0.1,6.4,4
2019,2,-3,6.3,3.4,-0.2,4,-1.5,6,2.6,6,4.3,6.5,0.9,-3.3,2.1,4.7,-3,1.8,2
2019,2,-8,9.5,-5.2,7,-5.6,1.4,-2,2.5,-2,-8,-0.7,7.1,-1.3,5.8,-6.8,6.1,-2.4,20
2019,2,-8,1,-7.6,-4.3,0.7,1.7,0.9,0.8,-3.7,2.3,8.3,1,0.3,-5.3,-3,-1.7,4.6,28
2019,2,1,8.3,2.7,1.8,3.9,-2,6.4,1.5,4.9,-1.6,8.6,0.8,2.4,-0.9,5.4,3.1,1.2,14
2019,2,-8,4.2,-6.1,1.8,-4,-4,-4.4,-5.9,-7.4,-2.4,-9.5,-2,-3,2.3,-4.2,0.8,-2.5,15
2019,2,-5,1,-7.2,-4.5,-3.3,2.5,-1.2,5,0.3,14.1,-5,2.9,-0.4,-1,-7,-6,1.7,6
2019,2,-3,8,-4.5,0.4,-1.4,-1.1,0.6,4.2,-0.7,-4.5,3.5,-0.9,3.2,-2.2,-2.5,2.2,-0.1,26
2019,2,-8,9,-9.4,7.8,-4.9,-4.8,0.4,-6.4,-2.6,3,-10.6,8.4,1.4,10.2,-4.1,2.2,-4.1,12
2019,2,-8,6.7,-5.3,2.6,-3.4,-1.4,-0.4,1.8,0.8,-9,6.1,1.9,-3.5,4,-8.8,0.3,3,6
2019,2,-8,14.3,-1.6,0.8,1.4,-2.6,-5.9,6.2,-12.1,-4.5,-5.6,4.8,-3.1,0.2,1.9,1.2,0.1,22
2019,2,-8,6,-4,0.7,-0.4,-0.1,1.4,6.1,-0.1,-12.1,-5.2,3.7,4.6,6,0.5,-5.7,-1.4,1
2019,2,-3,1.4,-10,0.1,-4.3,1.7,2.5,-4.3,1.8,0.2,4.7,4.8,-1.1,-2.9,-7.4,2.8,0.4,20
2019,2,-8,8.4,-6.1,-0.3,0.1,0.1,1.1,4.4,0.8,5.2,-6.4,-2.1,4.8,-3.5,0.7,2.6,-0.6,9
2019,2,-8,12.5,-3.2,4.8,-2.8,-2.3,0.2,4.6,-2.4,-2.2,3.2,4.7,-0.6,2.8,-0.1,4.9,-4.4,12
2019,2,-8,8,-3.4,1.8,-5.8,-2.2,0,6.8,0.1,-2.1,5.5,-3.1,-4.7,1.6,-4.9,1.4,-4.8,15
2019,2,1,-0.7,5.8,-0.7,-2.3,-0.3,-4.2,4.1,-1.8,-0.7,-0.9,-1.5,0.9,-1.5,-8.1,0.8,4.9,19
